X,Y,BUILDINGS,USE,MATERIAL,NR_FLOORS,TYPE,VALUE_MIN,VALUE_MAX,PEOPLE_MIN,PEOPLE_MAX,COMMUNE,ADMIN_UNIT,Area,Use_Type,XCOORD,YCOORD,station,x,y
387648.749736808,5151895.83907357,_31,House,Masonary_wood,3,MA_3,571365,706844,7.33,7,Tarvisio,TarvisioB2,196,1,387648.749737,5151895.839074,Sem27,13.5354841287888,46.5112549996525
387540.64469996,5152157.80157624,_32,House,Masonary,2,MA_2,458132,566761,7.33,7,Tarvisio,TarvisioB2,236,1,387540.6447,5152157.801576,Sem27,13.534012050681,46.5135937188242
387635.101428709,5151900.46938942,_33,House,Masonary_wood,3,MA_3,365492,452155,7.33,7,Tarvisio,TarvisioB2,126,1,387635.101429,5151900.469389,Sem27,13.5353051609004,46.5112943790228
387645.623118533,5151872.56186134,_34,House,Masonary_wood,3,MA_3,747016,924143,7.33,7,Tarvisio,TarvisioB2,257,1,387645.623119,5151872.561861,Sem27,13.5354490126898,46.5110450623094
387615.99516327,5151394.35966619,_35,Restaurant,Masonary_wood,1,MA_1,90272,135407,0,0,Tarvisio,TarvisioB1,100,3,387615.995163,5151394.359666,Sem27,13.5351785395901,46.5067379263595
387574.952343384,5151400.91327972,_36,Ski-lift,Concrete_metal,2,RC_2,617741,780661,0,0,Tarvisio,TarvisioB1,339,3,387574.952343,5151400.91328,Sem27,13.5346421779025,46.5067900354394
387770.765529668,5151584.10340202,_37,Apartment_building,Concrete_wood,4,RC_4,1870747,2314327,99.55,100,Tarvisio,TarvisioB2,482,1,387770.76553,5151584.103402,Sem26,13.5371493550772,46.5084707884858
387818.83478576,5151578.08309224,_38,Apartment_building,Concrete_wood,4,RC_4,1047025,1295288,55.72,56,Tarvisio,TarvisioB2,270,1,387818.834786,5151578.083092,Sem26,13.5377771580739,46.508424636423
387840.701441707,5151539.20955984,_39,House,Concrete_wood,2,RC_2,384155,475243,7.33,7,Tarvisio,TarvisioB2,198,1,387840.701442,5151539.20956,Sem26,13.5380714622789,46.508078549265
387831.926532448,5151554.28832869,_40,House,Concrete_wood,2,RC_2,380847,471150,7.33,7,Tarvisio,TarvisioB2,196,1,387831.926532,5151554.288329,Sem26,13.5379534865323,46.508212745324
387279.483200587,5151935.91749659,_42,Garage,Concrete,1,RC_1,5108,7744,0,0,Tarvisio,TarvisioB2,16,1,387279.483201,5151935.917497,Sem27,13.5306625731052,46.5115538460669
